disease,drug,se
HIV/AIDS,Raltegravir,Epigastric discomfort
HIV/AIDS,Raltegravir,Epistaxis
HIV/AIDS,Raltegravir,Erectile dysfunction
HIV/AIDS,Raltegravir,Eructation
HIV/AIDS,Raltegravir,Erythema
HIV/AIDS,Raltegravir,Eye disorder
HIV/AIDS,Raltegravir,Face oedema
HIV/AIDS,Raltegravir,Facial wasting
HIV/AIDS,Raltegravir,Fasting
HIV/AIDS,Raltegravir,Fasting blood glucose increased
HIV/AIDS,Raltegravir,Fat tissue increased
HIV/AIDS,Raltegravir,Fatigue
HIV/AIDS,Raltegravir,Feeling jittery
HIV/AIDS,Raltegravir,Flank pain
HIV/AIDS,Raltegravir,Flatulence
HIV/AIDS,Raltegravir,Folliculitis
HIV/AIDS,Raltegravir,Gastritis
HIV/AIDS,Raltegravir,Gastroenteritis
HIV/AIDS,Raltegravir,Gastrointestinal disorder
HIV/AIDS,Raltegravir,Gastrooesophageal reflux disease
HIV/AIDS,Raltegravir,Genital herpes
HIV/AIDS,Raltegravir,Gingivitis
HIV/AIDS,Raltegravir,Glossitis
HIV/AIDS,Raltegravir,Glycosuria
HIV/AIDS,Raltegravir,Gynaecomastia
HIV/AIDS,Raltegravir,Hallucination
HIV/AIDS,Raltegravir,"Hallucination, auditory"
HIV/AIDS,Raltegravir,Headache
HIV/AIDS,Raltegravir,Hepatic failure
HIV/AIDS,Raltegravir,Hepatic steatosis
HIV/AIDS,Raltegravir,Hepatitis
HIV/AIDS,Raltegravir,Hepatitis B
HIV/AIDS,Raltegravir,Hepatitis C
HIV/AIDS,Raltegravir,Hepatitis alcoholic
HIV/AIDS,Raltegravir,Hepatobiliary disease
HIV/AIDS,Raltegravir,Hepatocellular carcinoma
HIV/AIDS,Raltegravir,Herpes simplex
HIV/AIDS,Raltegravir,Herpes virus infection
HIV/AIDS,Raltegravir,Herpes zoster
HIV/AIDS,Raltegravir,High cholesterol
HIV/AIDS,Raltegravir,High density lipoprotein increased
HIV/AIDS,Raltegravir,Hot flush
HIV/AIDS,Raltegravir,Hypercholesterolaemia
HIV/AIDS,Raltegravir,Hyperglycaemia
HIV/AIDS,Raltegravir,Hyperhidrosis
HIV/AIDS,Raltegravir,Hyperlipidaemia
HIV/AIDS,Raltegravir,Hyperphagia
HIV/AIDS,Raltegravir,Hypersensitivity
HIV/AIDS,Raltegravir,Hypersomnia
HIV/AIDS,Raltegravir,Hypertension
HIV/AIDS,Raltegravir,Hypoaesthesia
HIV/AIDS,Raltegravir,Immune system disorder
HIV/AIDS,Raltegravir,Increased appetite
HIV/AIDS,Raltegravir,Infection
HIV/AIDS,Raltegravir,Infestation NOS
HIV/AIDS,Raltegravir,Inflammation
HIV/AIDS,Raltegravir,Influenza
HIV/AIDS,Raltegravir,Insomnia
HIV/AIDS,Raltegravir,International normalised ratio increased
HIV/AIDS,Raltegravir,Iron deficiency anaemia
HIV/AIDS,Raltegravir,Kaposi's sarcoma
HIV/AIDS,Raltegravir,Lethargy
HIV/AIDS,Raltegravir,Lipase increased
HIV/AIDS,Raltegravir,Lipoatrophy
HIV/AIDS,Raltegravir,Lipodystrophy acquired
HIV/AIDS,Raltegravir,Lipohypertrophy
HIV/AIDS,Raltegravir,Liver disorder
HIV/AIDS,Raltegravir,Low density lipoprotein increased
HIV/AIDS,Raltegravir,Lymph node abscess
HIV/AIDS,Raltegravir,Lymph node pain
HIV/AIDS,Raltegravir,Lymphadenopathy
HIV/AIDS,Raltegravir,Lymphoma
HIV/AIDS,Raltegravir,Major depression
HIV/AIDS,Raltegravir,Malaise
HIV/AIDS,Raltegravir,Malnutrition
HIV/AIDS,Raltegravir,Mediastinal disorder
HIV/AIDS,Raltegravir,Memory impairment
HIV/AIDS,Raltegravir,Menopausal symptoms
HIV/AIDS,Raltegravir,Mental disorder
HIV/AIDS,Raltegravir,Middle insomnia
HIV/AIDS,Raltegravir,Migraine
HIV/AIDS,Raltegravir,Molluscum contagiosum
HIV/AIDS,Raltegravir,Mood swings
HIV/AIDS,Raltegravir,Musculoskeletal pain
HIV/AIDS,Raltegravir,Myalgia
HIV/AIDS,Raltegravir,Myocardial infarction
HIV/AIDS,Raltegravir,Myopathy
HIV/AIDS,Raltegravir,Nasal congestion
HIV/AIDS,Raltegravir,Nasopharyngitis
HIV/AIDS,Raltegravir,Nausea
HIV/AIDS,Raltegravir,Neck pain
HIV/AIDS,Raltegravir,Neoplasm
HIV/AIDS,Raltegravir,Neoplasm malignant
HIV/AIDS,Raltegravir,Nephritis
HIV/AIDS,Raltegravir,Nephrolithiasis
HIV/AIDS,Raltegravir,Nephropathy toxic
HIV/AIDS,Raltegravir,Nervous system disorder
HIV/AIDS,Raltegravir,Neuropathy peripheral
HIV/AIDS,Raltegravir,Neutropenia
HIV/AIDS,Raltegravir,Night sweats
HIV/AIDS,Raltegravir,Nightmare
HIV/AIDS,Raltegravir,Nocturia
HIV/AIDS,Raltegravir,Odynophagia
HIV/AIDS,Raltegravir,Oedema peripheral
HIV/AIDS,Raltegravir,Opportunistic infection
HIV/AIDS,Raltegravir,Osteopenia
HIV/AIDS,Raltegravir,Osteoporosis
HIV/AIDS,Raltegravir,Pain
HIV/AIDS,Raltegravir,Pain in extremity
HIV/AIDS,Raltegravir,Palpitations
HIV/AIDS,Raltegravir,Pancreatitis acute
HIV/AIDS,Raltegravir,Panic attack
HIV/AIDS,Raltegravir,Paraesthesia
HIV/AIDS,Raltegravir,Paranoia
HIV/AIDS,Raltegravir,Peptic ulcer
HIV/AIDS,Raltegravir,Phosphatase alkaline increased
HIV/AIDS,Raltegravir,Platelet count decreased
HIV/AIDS,Raltegravir,Polyarthritis
HIV/AIDS,Raltegravir,Polydipsia
HIV/AIDS,Raltegravir,Polyp
HIV/AIDS,Raltegravir,Poor quality sleep
HIV/AIDS,Raltegravir,Prurigo
HIV/AIDS,Raltegravir,Pruritus
HIV/AIDS,Raltegravir,Pruritus generalised
HIV/AIDS,Raltegravir,Psychotic disorder
HIV/AIDS,Raltegravir,Rash
HIV/AIDS,Raltegravir,Rash macular
HIV/AIDS,Raltegravir,Rash maculo-papular
HIV/AIDS,Raltegravir,Renal cyst
HIV/AIDS,Raltegravir,Renal failure
HIV/AIDS,Raltegravir,Renal failure chronic
HIV/AIDS,Raltegravir,Renal impairment
HIV/AIDS,Raltegravir,Renal tubular necrosis
HIV/AIDS,Raltegravir,Rhabdomyolysis
HIV/AIDS,Raltegravir,Sinus bradycardia
HIV/AIDS,Raltegravir,Skin lesion
HIV/AIDS,Raltegravir,Skin papilloma
HIV/AIDS,Raltegravir,Sleep disorder
HIV/AIDS,Raltegravir,Somnolence
HIV/AIDS,Raltegravir,Squamous cell carcinoma
HIV/AIDS,Raltegravir,Stevens-Johnson syndrome
HIV/AIDS,Raltegravir,Submandibular mass
HIV/AIDS,Raltegravir,Suicidal behaviour
HIV/AIDS,Raltegravir,Suicidal ideation
HIV/AIDS,Raltegravir,Suicide attempt
HIV/AIDS,Raltegravir,Tendonitis
HIV/AIDS,Raltegravir,Tension headache
HIV/AIDS,Raltegravir,Thrombocytopenia
HIV/AIDS,Raltegravir,Tinnitus
HIV/AIDS,Raltegravir,Tremor
HIV/AIDS,Raltegravir,Tubulointerstitial nephritis
HIV/AIDS,Raltegravir,Unspecified disorder of skin and subcutaneous tissue
HIV/AIDS,Raltegravir,Upper respiratory tract infection
HIV/AIDS,Raltegravir,Urinary tract disorder
HIV/AIDS,Raltegravir,Urticaria
HIV/AIDS,Raltegravir,Ventricular extrasystoles
HIV/AIDS,Raltegravir,Vertigo
HIV/AIDS,Raltegravir,Visual impairment
HIV/AIDS,Raltegravir,Vomiting
HIV/AIDS,Raltegravir,Waist circumference increased
HIV/AIDS,Raltegravir,Weight decreased
HIV/AIDS,Raltegravir,Weight increased
HIV/AIDS,Raltegravir,White blood cell count decreased
HIV/AIDS,Raltegravir,Xeroderma
HIV/AIDS,Elvitegravir,Abdominal distension
HIV/AIDS,Elvitegravir,Abdominal pain
HIV/AIDS,Elvitegravir,Autoimmune disorder
HIV/AIDS,Elvitegravir,Basedow's disease
HIV/AIDS,Elvitegravir,Diarrhoea
HIV/AIDS,Elvitegravir,Dizziness
HIV/AIDS,Elvitegravir,Dysgeusia
HIV/AIDS,Elvitegravir,Dyspepsia
HIV/AIDS,Elvitegravir,Fatigue
HIV/AIDS,Elvitegravir,Flatulence
HIV/AIDS,Elvitegravir,Gastrointestinal disorder
HIV/AIDS,Elvitegravir,Headache
HIV/AIDS,Elvitegravir,Inflammation
HIV/AIDS,Elvitegravir,Insomnia
HIV/AIDS,Elvitegravir,Mental disorder
HIV/AIDS,Elvitegravir,Nausea
HIV/AIDS,Elvitegravir,Nervous system disorder
HIV/AIDS,Elvitegravir,Opportunistic infection
HIV/AIDS,Elvitegravir,Osteonecrosis
HIV/AIDS,Elvitegravir,Paraesthesia
HIV/AIDS,Elvitegravir,Rash
HIV/AIDS,Elvitegravir,Somnolence
HIV/AIDS,Elvitegravir,Suicidal ideation
HIV/AIDS,Elvitegravir,Suicide attempt
HIV/AIDS,Elvitegravir,Unspecified disorder of skin and subcutaneous tissue
HIV/AIDS,Elvitegravir,Vomiting
HIV/AIDS,Dolutegravir,Abdominal discomfort
HIV/AIDS,Dolutegravir,Abdominal pain
HIV/AIDS,Dolutegravir,Abdominal pain upper
HIV/AIDS,Dolutegravir,Abnormal dreams
HIV/AIDS,Dolutegravir,Alanine aminotransferase increased
HIV/AIDS,Dolutegravir,Autoimmune disorder
HIV/AIDS,Dolutegravir,Basedow's disease
HIV/AIDS,Dolutegravir,Bilirubin total increased
HIV/AIDS,Dolutegravir,Diarrhoea
HIV/AIDS,Dolutegravir,Dizziness
HIV/AIDS,Dolutegravir,Drug eruption
HIV/AIDS,Dolutegravir,Fat redistribution
HIV/AIDS,Dolutegravir,Fatigue
HIV/AIDS,Dolutegravir,Flatulence
HIV/AIDS,Dolutegravir,Gastrointestinal disorder
HIV/AIDS,Dolutegravir,Headache
HIV/AIDS,Dolutegravir,Hepatitis
HIV/AIDS,Dolutegravir,Hepatitis C
HIV/AIDS,Dolutegravir,Hepatobiliary disease
HIV/AIDS,Dolutegravir,Hyperglycaemia
HIV/AIDS,Dolutegravir,Hypersensitivity
HIV/AIDS,Dolutegravir,Immune system disorder
HIV/AIDS,Dolutegravir,Inflammation
HIV/AIDS,Dolutegravir,Insomnia
HIV/AIDS,Dolutegravir,Mental disorder
HIV/AIDS,Dolutegravir,Musculoskeletal disorder
HIV/AIDS,Dolutegravir,Myositis
HIV/AIDS,Dolutegravir,Nausea
HIV/AIDS,Dolutegravir,Nervous system disorder
HIV/AIDS,Dolutegravir,Neutropenia
HIV/AIDS,Dolutegravir,Opportunistic infection
HIV/AIDS,Dolutegravir,Prurigo
HIV/AIDS,Dolutegravir,Pruritus
HIV/AIDS,Dolutegravir,Rash
HIV/AIDS,Dolutegravir,Rash generalised
HIV/AIDS,Dolutegravir,Rash macular
HIV/AIDS,Dolutegravir,Rash maculo-papular
HIV/AIDS,Dolutegravir,Renal impairment
HIV/AIDS,Dolutegravir,Serum creatinine increased
HIV/AIDS,Dolutegravir,Unspecified disorder of skin and subcutaneous tissue
HIV/AIDS,Dolutegravir,Urinary tract disorder
HIV/AIDS,Dolutegravir,Vertigo
HIV/AIDS,Dolutegravir,Vomiting
HIV/AIDS,Maraviroc,Abdominal bloating
HIV/AIDS,Maraviroc,Abdominal neoplasm
HIV/AIDS,Maraviroc,Abdominal pain
HIV/AIDS,Maraviroc,Abdominal pain upper
HIV/AIDS,Maraviroc,Acne
HIV/AIDS,Maraviroc,Acquired immunodeficiency syndrome
HIV/AIDS,Maraviroc,Acute bronchitis
HIV/AIDS,Maraviroc,Acute sinusitis
HIV/AIDS,Maraviroc,Agranulocytosis
HIV/AIDS,Maraviroc,Alanine aminotransferase increased
HIV/AIDS,Maraviroc,Alopecia
HIV/AIDS,Maraviroc,Anaemia
HIV/AIDS,Maraviroc,Anaemias NEC
HIV/AIDS,Maraviroc,Anal cancer
HIV/AIDS,Maraviroc,Anaplastic large-cell lymphoma
HIV/AIDS,Maraviroc,Angina pectoris
HIV/AIDS,Maraviroc,Angina unstable
HIV/AIDS,Maraviroc,Angiopathy
HIV/AIDS,Maraviroc,Anogenital warts
HIV/AIDS,Maraviroc,Anorexia
HIV/AIDS,Maraviroc,Anxiety symptoms NOS
HIV/AIDS,Maraviroc,Aortic arteriosclerosis
HIV/AIDS,Maraviroc,Apocrine and eccrine gland disorders
HIV/AIDS,Maraviroc,Appetite disorder
HIV/AIDS,Maraviroc,Areflexia
HIV/AIDS,Maraviroc,Aspartate aminotransferase increased
HIV/AIDS,Maraviroc,Asthenia
HIV/AIDS,Maraviroc,Autoimmune disorder
HIV/AIDS,Maraviroc,Bacterial infections NEC
HIV/AIDS,Maraviroc,Basal cell carcinoma
HIV/AIDS,Maraviroc,Basedow's disease
HIV/AIDS,Maraviroc,Benign neoplasm of skin
HIV/AIDS,Maraviroc,Bile duct cancer
HIV/AIDS,Maraviroc,Bile duct neoplasms malignant
HIV/AIDS,Maraviroc,Bladder and urethral symptoms
HIV/AIDS,Maraviroc,Blood alkaline phosphatase increased
HIV/AIDS,Maraviroc,Blood and lymphatic system disorders
HIV/AIDS,Maraviroc,Blood creatine phosphokinase increased
HIV/AIDS,Maraviroc,Body temperature increased
HIV/AIDS,Maraviroc,Bone cancer metastatic
HIV/AIDS,Maraviroc,Bone marrow depression
HIV/AIDS,Maraviroc,Bowen's disease
HIV/AIDS,Maraviroc,Breast disorder
HIV/AIDS,Maraviroc,Bronchitis
HIV/AIDS,Maraviroc,Bronchitis bacterial
HIV/AIDS,Maraviroc,Bronchopneumonia
HIV/AIDS,Maraviroc,Bronchospasm
HIV/AIDS,Maraviroc,Cardiac disorder
HIV/AIDS,Maraviroc,Cardiac failure acute
HIV/AIDS,Maraviroc,Cataract
HIV/AIDS,Maraviroc,Cerebrovascular accident
HIV/AIDS,Maraviroc,Cholangiocarcinoma
HIV/AIDS,Maraviroc,Chronic sinusitis
HIV/AIDS,Maraviroc,Clostridium difficile colitis
HIV/AIDS,Maraviroc,Coagulopathy
HIV/AIDS,Maraviroc,Colitis
HIV/AIDS,Maraviroc,Conjunctivitis
HIV/AIDS,Maraviroc,Connective tissue disorder
HIV/AIDS,Maraviroc,Consciousness abnormal
HIV/AIDS,Maraviroc,Constipation
HIV/AIDS,Maraviroc,Convulsion
HIV/AIDS,Maraviroc,Coronary artery disease
HIV/AIDS,Maraviroc,Coronary artery occlusion
HIV/AIDS,Maraviroc,Cough
HIV/AIDS,Maraviroc,Creatine phosphokinase increased
HIV/AIDS,Maraviroc,Cyst
HIV/AIDS,Maraviroc,Deafness
HIV/AIDS,Maraviroc,Dementia
HIV/AIDS,Maraviroc,Depression
HIV/AIDS,Maraviroc,Depressive disorder
HIV/AIDS,Maraviroc,Dermatitis
HIV/AIDS,Maraviroc,Dermatitis exfoliative
HIV/AIDS,Maraviroc,Diabetes mellitus
HIV/AIDS,Maraviroc,Diarrhoea
HIV/AIDS,Maraviroc,Diarrhoea haemorrhagic
HIV/AIDS,Maraviroc,Diffuse large B-cell lymphoma
HIV/AIDS,Maraviroc,Discomfort
HIV/AIDS,Maraviroc,Distention
HIV/AIDS,Maraviroc,Dizziness
HIV/AIDS,Maraviroc,Dizziness postural
HIV/AIDS,Maraviroc,Drug eruption
HIV/AIDS,Maraviroc,Dysaesthesia
HIV/AIDS,Maraviroc,Ear and labyrinth disorders
HIV/AIDS,Maraviroc,Ear disorders NEC
HIV/AIDS,Maraviroc,Eczema
HIV/AIDS,Maraviroc,Endocarditis
HIV/AIDS,Maraviroc,Endocrine neoplasms malignant and unspecified
HIV/AIDS,Maraviroc,Eosinophilia
HIV/AIDS,Maraviroc,Epilepsy
HIV/AIDS,Maraviroc,Erythema
HIV/AIDS,Maraviroc,Eye disorder
HIV/AIDS,Maraviroc,Eye infection
HIV/AIDS,Maraviroc,Eyelid ptosis
HIV/AIDS,Maraviroc,Facial paralysis
HIV/AIDS,Maraviroc,Fatigue
HIV/AIDS,Maraviroc,Febrile disorders
HIV/AIDS,Maraviroc,Flatulence
HIV/AIDS,Maraviroc,Folliculitis
HIV/AIDS,Maraviroc,Gamma-glutamyltransferase increased
HIV/AIDS,Maraviroc,Gastrointestinal disorder
HIV/AIDS,Maraviroc,Gastrointestinal signs and symptoms NEC
HIV/AIDS,Maraviroc,Glaucoma
HIV/AIDS,Maraviroc,Haemolytic anaemia
HIV/AIDS,Maraviroc,Haemoptysis
HIV/AIDS,Maraviroc,Hallucination
HIV/AIDS,Maraviroc,"Hallucination, auditory"
HIV/AIDS,Maraviroc,Headache
HIV/AIDS,Maraviroc,Heat exhaustion
HIV/AIDS,Maraviroc,Hemianopia
HIV/AIDS,Maraviroc,Hepatic cirrhosis
HIV/AIDS,Maraviroc,Hepatic failure
HIV/AIDS,Maraviroc,Hepatitis toxic
HIV/AIDS,Maraviroc,Hepatobiliary disease
HIV/AIDS,Maraviroc,Hepatotoxicity
HIV/AIDS,Maraviroc,Herpes NOS
HIV/AIDS,Maraviroc,Herpes simplex
HIV/AIDS,Maraviroc,Herpes virus infection
HIV/AIDS,Maraviroc,Herpes zoster
HIV/AIDS,Maraviroc,Hodgkin's disease
HIV/AIDS,Maraviroc,Hyperbilirubinaemia
HIV/AIDS,Maraviroc,Hypersensitivity
HIV/AIDS,Maraviroc,Hypertransaminasaemia
HIV/AIDS,Maraviroc,Hypoplastic anaemia
HIV/AIDS,Maraviroc,Infection
HIV/AIDS,Maraviroc,Infective myositis
HIV/AIDS,Maraviroc,Infestation NOS
HIV/AIDS,Maraviroc,Inflammation
HIV/AIDS,Maraviroc,Influenza
HIV/AIDS,Maraviroc,Influenza like illness
HIV/AIDS,Maraviroc,Insomnia
HIV/AIDS,Maraviroc,Jaundice
HIV/AIDS,Maraviroc,Jaundice cholestatic
HIV/AIDS,Maraviroc,Joint related signs and symptoms
HIV/AIDS,Maraviroc,Laryngitis
HIV/AIDS,Maraviroc,Laryngopharyngitis
HIV/AIDS,Maraviroc,Leukopenia
HIV/AIDS,Maraviroc,Lipodystrophy
HIV/AIDS,Maraviroc,Lipoma
HIV/AIDS,Maraviroc,Lobar pneumonia
HIV/AIDS,Maraviroc,Loss of consciousness
HIV/AIDS,Maraviroc,Lymphadenopathy
HIV/AIDS,Maraviroc,Lymphoma
HIV/AIDS,Maraviroc,Malnutrition
HIV/AIDS,Maraviroc,Mediastinal disorder
HIV/AIDS,Maraviroc,Memory loss
HIV/AIDS,Maraviroc,Meningitis
HIV/AIDS,Maraviroc,Meningitis viral
HIV/AIDS,Maraviroc,Mental disorder
HIV/AIDS,Maraviroc,Metastases to liver
HIV/AIDS,Maraviroc,Metastases to peritoneum
HIV/AIDS,Maraviroc,Mucormycosis
HIV/AIDS,Maraviroc,Muscle atrophy
HIV/AIDS,Maraviroc,Myalgia
HIV/AIDS,Maraviroc,Myocardial infarction
HIV/AIDS,Maraviroc,Myocardial ischaemia
HIV/AIDS,Maraviroc,Myositis
HIV/AIDS,Maraviroc,Nasal congestion
HIV/AIDS,Maraviroc,Nasopharyngeal carcinoma
HIV/AIDS,Maraviroc,Nasopharyngitis
HIV/AIDS,Maraviroc,Nausea
HIV/AIDS,Maraviroc,Neisseria infection
HIV/AIDS,Maraviroc,Neoplasm
HIV/AIDS,Maraviroc,Neoplasm malignant
HIV/AIDS,Maraviroc,Nervous system disorder
HIV/AIDS,Maraviroc,Neuritis
HIV/AIDS,Maraviroc,Neuropathy peripheral
HIV/AIDS,Maraviroc,Neutropenia
HIV/AIDS,Maraviroc,Oedema
HIV/AIDS,Maraviroc,Oesophageal candidiasis
HIV/AIDS,Maraviroc,Oesophageal carcinoma
HIV/AIDS,Maraviroc,Oliguria
HIV/AIDS,Maraviroc,Ophthalmic herpes simplex
HIV/AIDS,Maraviroc,Opportunistic infection
HIV/AIDS,Maraviroc,Orthostatic hypotension
HIV/AIDS,Maraviroc,Osteonecrosis
HIV/AIDS,Maraviroc,Otitis media
HIV/AIDS,Maraviroc,Pain
HIV/AIDS,Maraviroc,Pancreatitis
HIV/AIDS,Maraviroc,Pancytopenia
HIV/AIDS,Maraviroc,Paraesthesia
HIV/AIDS,Maraviroc,Parasomnia
HIV/AIDS,Maraviroc,Parkinsonism
HIV/AIDS,Maraviroc,Peripheral embolism
HIV/AIDS,Maraviroc,Petit mal epilepsy
HIV/AIDS,Maraviroc,Pharyngitis
HIV/AIDS,Maraviroc,Pneumonia
HIV/AIDS,Maraviroc,Pneumonia bacterial
HIV/AIDS,Maraviroc,Polyneuropathy
HIV/AIDS,Maraviroc,Polyp
HIV/AIDS,Maraviroc,Polyuria
HIV/AIDS,Maraviroc,Portal vein thrombosis
HIV/AIDS,Maraviroc,Proctitis herpes
HIV/AIDS,Maraviroc,Proteinuria
HIV/AIDS,Maraviroc,Pruritus
HIV/AIDS,Maraviroc,Purpura
HIV/AIDS,Maraviroc,Rash
HIV/AIDS,Maraviroc,Rash generalised
HIV/AIDS,Maraviroc,Rectal haemorrhage
HIV/AIDS,Maraviroc,Renal failure
HIV/AIDS,Maraviroc,Renal failure acute
HIV/AIDS,Maraviroc,Respiration abnormal
HIV/AIDS,Maraviroc,Respiratory distress
HIV/AIDS,Maraviroc,Respiratory failure
HIV/AIDS,Maraviroc,Respiratory tract infection
HIV/AIDS,Maraviroc,Respiratory tract infection viral
HIV/AIDS,Maraviroc,Retinal tear
HIV/AIDS,Maraviroc,Rhabdomyolysis
HIV/AIDS,Maraviroc,Rhinitis
HIV/AIDS,Maraviroc,Scotoma
HIV/AIDS,Maraviroc,Seborrhoeic keratosis
HIV/AIDS,Maraviroc,Septic shock
HIV/AIDS,Maraviroc,Sinobronchitis
HIV/AIDS,Maraviroc,Sinusitis
HIV/AIDS,Maraviroc,Sleep disorder
HIV/AIDS,Maraviroc,Small intestinal obstruction
HIV/AIDS,Maraviroc,Squamous cell carcinoma
HIV/AIDS,Maraviroc,Squamous cell carcinoma of skin
HIV/AIDS,Maraviroc,Stevens-Johnson syndrome
HIV/AIDS,Maraviroc,Stomatitis
HIV/AIDS,Maraviroc,Suicidal ideation
HIV/AIDS,Maraviroc,Sweat gland tumour
HIV/AIDS,Maraviroc,Syncope
HIV/AIDS,Maraviroc,Tetany
HIV/AIDS,Maraviroc,Tinea infection
HIV/AIDS,Maraviroc,Tongue neoplasm
HIV/AIDS,Maraviroc,Toxic epidermal necrolysis
HIV/AIDS,Maraviroc,Transaminases increased
HIV/AIDS,Maraviroc,Tremor
HIV/AIDS,Maraviroc,Treponema infections
HIV/AIDS,Maraviroc,Type IV hypersensitivity reaction
HIV/AIDS,Maraviroc,Ulcer
HIV/AIDS,Maraviroc,Unspecified disorder of skin and subcutaneous tissue
HIV/AIDS,Maraviroc,Upper respiratory tract infection
HIV/AIDS,Maraviroc,Urinary abnormalities
HIV/AIDS,Maraviroc,Urinary tract disorder
HIV/AIDS,Maraviroc,Urinary tract signs and symptoms
HIV/AIDS,Maraviroc,Varicella
HIV/AIDS,Maraviroc,Varices oesophageal
HIV/AIDS,Maraviroc,Vascular hypertensive disorders
HIV/AIDS,Maraviroc,Vasculitis
HIV/AIDS,Maraviroc,Venous thrombosis
HIV/AIDS,Maraviroc,Viral infections NEC
HIV/AIDS,Maraviroc,Vomiting
HIV/AIDS,Enfuvirtide,Abdominal pain
HIV/AIDS,Enfuvirtide,Abdominal pain upper
HIV/AIDS,Enfuvirtide,Abscess
HIV/AIDS,Enfuvirtide,Acne
HIV/AIDS,Enfuvirtide,Acquired immunodeficiency syndrome
HIV/AIDS,Enfuvirtide,Administration site infection
HIV/AIDS,Enfuvirtide,Amylase increased
HIV/AIDS,Enfuvirtide,Anaphylactic shock
HIV/AIDS,Enfuvirtide,Angina unstable
HIV/AIDS,Enfuvirtide,Anorexia
HIV/AIDS,Enfuvirtide,Anxiety
HIV/AIDS,Enfuvirtide,Application site pain
HIV/AIDS,Enfuvirtide,Arthralgia
HIV/AIDS,Enfuvirtide,Aspartate aminotransferase increased
HIV/AIDS,Enfuvirtide,Asthenia
HIV/AIDS,Enfuvirtide,Back pain
HIV/AIDS,Enfuvirtide,Blood and lymphatic system disorders
HIV/AIDS,Enfuvirtide,Blood disorder
HIV/AIDS,Enfuvirtide,Blood triglycerides increased
HIV/AIDS,Enfuvirtide,Body temperature increased
HIV/AIDS,Enfuvirtide,Bone disorder
HIV/AIDS,Enfuvirtide,Bronchopneumonia
HIV/AIDS,Enfuvirtide,Calculus of kidney
HIV/AIDS,Enfuvirtide,Cardiac disorder
HIV/AIDS,Enfuvirtide,Cellulitis
HIV/AIDS,Enfuvirtide,Chills
HIV/AIDS,Enfuvirtide,Conjunctivitis
HIV/AIDS,Enfuvirtide,Constipation
HIV/AIDS,Enfuvirtide,Contusion
HIV/AIDS,Enfuvirtide,Cough
HIV/AIDS,Enfuvirtide,Cramp muscle
HIV/AIDS,Enfuvirtide,Cyst
HIV/AIDS,Enfuvirtide,Decreased appetite
HIV/AIDS,Enfuvirtide,Depression
HIV/AIDS,Enfuvirtide,Diabetes mellitus
HIV/AIDS,Enfuvirtide,Diarrhoea
HIV/AIDS,Enfuvirtide,Disability
HIV/AIDS,Enfuvirtide,Discomfort
HIV/AIDS,Enfuvirtide,Disturbance in attention
HIV/AIDS,Enfuvirtide,Dizziness
HIV/AIDS,Enfuvirtide,Dry mouth
HIV/AIDS,Enfuvirtide,Dry skin
HIV/AIDS,Enfuvirtide,Dysgeusia
HIV/AIDS,Enfuvirtide,Ear and labyrinth disorders
HIV/AIDS,Enfuvirtide,Ear infection
HIV/AIDS,Enfuvirtide,Ecchymosis
HIV/AIDS,Enfuvirtide,Eosinophilia
HIV/AIDS,Enfuvirtide,Erythema
HIV/AIDS,Enfuvirtide,Eye disorder
HIV/AIDS,Enfuvirtide,Fatigue
HIV/AIDS,Enfuvirtide,Folliculitis
HIV/AIDS,Enfuvirtide,Gamma-glutamyltransferase increased
HIV/AIDS,Enfuvirtide,Gastrointestinal disorder
HIV/AIDS,Enfuvirtide,Gastrooesophageal reflux disease
HIV/AIDS,Enfuvirtide,Glomerulonephritis
HIV/AIDS,Enfuvirtide,Guillain-Barre syndrome
HIV/AIDS,Enfuvirtide,Haematoma
HIV/AIDS,Enfuvirtide,Haematuria
HIV/AIDS,Enfuvirtide,Headache
HIV/AIDS,Enfuvirtide,Hepatic steatosis
HIV/AIDS,Enfuvirtide,Hepatitis toxic
HIV/AIDS,Enfuvirtide,Hepatobiliary disease
HIV/AIDS,Enfuvirtide,Herpes simplex
HIV/AIDS,Enfuvirtide,Hyperglycaemia
HIV/AIDS,Enfuvirtide,Hypersensitivity
HIV/AIDS,Enfuvirtide,Hypertriglyceridaemia
HIV/AIDS,Enfuvirtide,Hypoaesthesia
HIV/AIDS,Enfuvirtide,Hypotension
HIV/AIDS,Enfuvirtide,Immune complex reaction
HIV/AIDS,Enfuvirtide,Immune system disorder
HIV/AIDS,Enfuvirtide,Induration
HIV/AIDS,Enfuvirtide,Infection
HIV/AIDS,Enfuvirtide,Infestation NOS
HIV/AIDS,Enfuvirtide,Inflammation
HIV/AIDS,Enfuvirtide,Influenza
HIV/AIDS,Enfuvirtide,Influenza like illness
HIV/AIDS,Enfuvirtide,Injection site infection
HIV/AIDS,Enfuvirtide,Injection site pain
HIV/AIDS,Enfuvirtide,Injection site reaction
HIV/AIDS,Enfuvirtide,Insomnia
HIV/AIDS,Enfuvirtide,Irritability
HIV/AIDS,Enfuvirtide,Lipase increased
HIV/AIDS,Enfuvirtide,Lymphadenopathy
HIV/AIDS,Enfuvirtide,Malnutrition
HIV/AIDS,Enfuvirtide,Mediastinal disorder
HIV/AIDS,Enfuvirtide,Mental disorder
